[SYS] 2026/09/05 - 11:47:05 | initializing token encoders 
[SYS] 2026/09/05 - 11:47:05 | token encoders initialized 
[SYS] 2026/09/05 - 11:47:05 | using PostgreSQL as database 
[SYS] 2026/09/05 - 11:47:05 | database migration started 
[SYS] 2026/09/05 - 11:47:07 | system is not initialized and no root user exists 
[SYS] 2026/09/05 - 11:47:07 | SYNC_FREQUENCY not set, use default value 60 
[SYS] 2026/09/05 - 11:47:07 | Redis is enabled 
[SYS] 2026/09/05 - 11:47:07 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/09/05 - 11:47:07 | Loaded 0 custom OAuth providers 
[SYS] 2026/09/05 - 11:47:07 | KDex API  started 
[SYS] 2026/09/05 - 11:47:07 | memory cache enabled 
[SYS] 2026/09/05 - 11:47:07 | sync frequency: 60 seconds 
[SYS] 2026/09/05 - 11:47:07 | channels synced from database 
[SYS] 2026/09/05 - 11:47:07 | 正在更新数据看板数据... 
[SYS] 2026/09/05 - 11:47:07 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | subscription quota reset task started: tick=1m0s 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/09/05 - 11:47:07 | batch update enabled with interval 5s 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | system task runner started: runner=kdex-api-node-1-98rFlXy9 idle_interval=15s 

  [33mWarning: Refresh cookie is not secure and refresh/logout Origin validation is disabled. Please set SESSION_COOKIE_SECURE=true in production.[0m


  [32mKDex API [0m  ready in 2481 ms

  ➜  [1mNetwork:[0m http://172.19.0.4:3000/

[GIN] 2026/09/05 - 11:49:40 | api | 202609050349404898249198268d9d65ZGgR3t5 | 200 |    2.464449ms |    192.168.10.1 |     GET /api/user/2fa/status
[GIN] 2026/09/05 - 11:49:40 | api | 202609050349404902191538268d9d6IPAHCjUZ | 200 |    2.844336ms |    192.168.10.1 |     GET /api/user/self
[GIN] 2026/09/05 - 11:49:40 | api | 202609050349404893295658268d9d6mO6oEHfX | 200 |     4.00709ms |    192.168.10.1 |     GET /api/user/passkey
[GIN] 2026/09/05 - 11:49:40 | api | 202609050349404885471898268d9d6xa9DrdFQ | 200 |    5.526033ms |    192.168.10.1 |     GET /api/user/sessions
[GIN] 2026/09/05 - 11:49:40 | api | 202609050349405403637558268d9d6EOvtKPfN | 200 |    2.147157ms |    192.168.10.1 |     GET /api/user/2fa/status
[GIN] 2026/09/05 - 11:50:01 | api | 202609050350016770348528268d9d6zrXQRiaD | 200 |    2.413766ms |    192.168.10.1 |     GET /api/subscription/plans
[GIN] 2026/09/05 - 11:50:01 | api | 202609050350016787464478268d9d6Zws0H4Ke | 200 |    1.827082ms |    192.168.10.1 |     GET /api/user/topup?p=1&page_size=10
[GIN] 2026/09/05 - 11:50:01 | api | 202609050350016801449238268d9d6qEq0bDHs | 200 |    1.373167ms |    192.168.10.1 |     GET /api/user/topup/info
[GIN] 2026/09/05 - 11:50:01 | api | 202609050350016782572768268d9d6DQvydEi9 | 200 |    3.804879ms |    192.168.10.1 |     GET /api/subscription/self
[GIN] 2026/09/05 - 11:50:01 | api | 202609050350016791165138268d9d6kU7fYj3f | 200 |    3.087292ms |    192.168.10.1 |     GET /api/user/self
[GIN] 2026/09/05 - 11:50:01 | api | 202609050350016787532648268d9d6ZcPOFE0O | 200 |    7.531628ms |    192.168.10.1 |     GET /api/user/aff
[GIN] 2026/09/05 - 11:50:01 | api | 202609050350017021153838268d9d6z1BZ3gny | 200 |    2.624956ms |    192.168.10.1 |    POST /api/user/amount
